id	externalId	latitude	longitude	city	postalCode	address	street	phone	open24h	mcDrive	open24h	wlan	coupons	toggo	mcCafe	closedFrom	closedTo	seoURL	wednesday	sunday	thursday	friday	tuesday	saturday	monday	name1	name2
256	397	48.4119094358	10.4399838311	Jettingen-Scheppach	89343	Jettingen-Scheppach, Euro Rast	Robert-Bosch-Str. 12	+49 8225 3117	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/jettingen-scheppach-robert-bosch-str-12	07:00 - 00:00	09:00 - 00:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	McDonald's Restaurant	Sylvia Starkmann GmbH
512	680	53.194801373	9.28841015792	Gyhum	27404	Bockel, Aral Autohof (A1)	An der Autobahn 3 (Autobahn A1)	+49 4286 95111	True	True	True	True	True	False	True	None	None	https://www.mcdonalds.de/restaurant/gyhum-an-der-autobahn-3	24h	24h	24h	24h	24h	24h	24h	McDonald's Restaurant	Systemgastronomie U. Breitkopf KG
768	969	49.901191	8.6085118	Weiterstadt	64331	Weiterstadt, Rudolf-Diesel-Str	Rudolf-Diesel-Str. 28	+49 6151 4285937	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/weiterstadt-rudolf-diesel-str-28	07:00 - 00:00	08:00 - 00:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	McDonald's Restaurant	Korkmaz Markengastronomie e.K.
2560	1054	53.7423793966	9.94416871816	Quickborn	25451	Quickborn, Gewerbegebiet Halen	Auf dem Halenberg	+49 4106 773006	False	True	False	True	True	False	True	None	None	https://www.mcdonalds.de/restaurant/quickborn-auf-dem-halenberg	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 02:00	07:00 - 01:00	07:00 - 02:00	07:00 - 01:00	McDonald's Restaurant	Diane Cichon Systemgastronomie e.K.
2816	1334	49.447264842	11.082351971	Nürnberg	90403	Nürnberg, Hauptbahnhof Königst	Bahnhofsplatz 9	+49 911 2029889	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/nuernberg-bahnhofsplatz-9	06:00 - 01:00	06:00 - 01:00	06:00 - 01:00	06:00 - 02:00	06:00 - 01:00	06:00 - 02:00	06:00 - 01:00	McDonald's Restaurant	McDonald's Deutschland LLC
3072	1602	48.6828426032	9.00091565095	Böblingen	71034	Böblingen, Karl-Benz-Str.	Karl-Benz-Str. 7	+49 7031 4674501	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/boeblingen-karl-benz-str-7	06:00 - 01:00	08:00 - 01:00	06:00 - 01:00	06:00 - 00:00	06:00 - 01:00	00:00 - 06:00	06:00 - 01:00	McDonald's Restaurant	McDonald's Deutschland LLC
1	1	48.112949075	11.5760900826	München	81539	München, Martin-Luther-Str.	Martin-Luther-Str. 26	+49 89 69380366	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-martin-luther-str-26	08:00 - 02:00	08:00 - 02:00	08:00 - 02:00	08:00 - 04:00	08:00 - 02:00	08:00 - 04:00	08:00 - 02:00	McDonald's Restaurant	REINERS Gastronomie GmbH & Co. KG
257	398	53.5820531468	9.49969783744	Stade	21680	Stade, Harburger Str.	Harburger Str. 184	+49 4141 600124	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/stade-harburger-str-184	07:30 - 01:00	07:30 - 01:00	07:30 - 01:00	07:30 - 03:00	07:30 - 01:00	07:30 - 03:00	07:30 - 01:00	McDonald's Restaurant	Betzien Systemgastronomie e.K.
513	681	47.9605360016	8.51321468284	Donaueschingen	78166	Donaueschingen, Carl-Benz-Str.	Carl-Benz-Str. 4	+49 771 1816	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/donaueschingen-carl-benz-str-4	08:00 - 00:00	09:00 - 00:00	08:00 - 00:00	08:00 - 03:00	08:00 - 00:00	08:00 - 03:00	08:00 - 00:00	McDonald's Restaurant	J. Deitlaff-Systemgastronomie GmbH Donaueschingen
769	971	51.1660726437	6.84608714298	Düsseldorf	40589	Düsseldorf, Am Trippelsberg	Am Trippelsberg 4	+49 211 7100520	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/duesseldorf-am-trippelsberg-4	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	08:00 - 03:00	07:00 - 01:00	McDonald's Restaurant	BCR Systemgastronomie GmbH
2561	1055	50.5918574417	13.0106228845	Annaberg-Buchholz	09456	Annaberg-Buchholz, Chemnitzer	Chemnitzer Str. 36	+49 3733 542773	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/annaberg-buchholz-chemnitzer-str-36	07:00 - 00:00	09:00 - 00:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	McDonald's Restaurant	Willy Dany Restaurantbetriebsgesellschaft mbH & Co. Service KG
2817	1335	52.4276097438	10.8114168501	Wolfsburg	38446	Wolfsburg, Lerchenweg	Lerchenweg 24	+49 5361 8486772	True	True	True	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/wolfsburg-lerchenweg-24	24h	24h	24h	24h	24h	24h	24h	McDonald's Restaurant	Bredberg Systemgastronomie GmbH & Co. KG
3073	1603	50.8190891254	8.77463360013	Marburg	35037	Marburg, Hauptbahnhof	Bahnhofstr. 33	+49 6421 5907657	False	False	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/marburg-bahnhofstr-33	08:00 - 23:00	10:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	08:00 - 23:00	McDonald's Restaurant	Walter Briol Systemgastronomie e.K.
2	5	48.15685745	11.5837017567	München	80802	München, Leopoldstr.	Leopoldstr. 17	+49 89 34029533	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-leopoldstr-17	07:00 - 02:00	07:00 - 02:00	07:00 - 02:00	07:00 - 05:00	07:00 - 02:00	07:00 - 05:00	07:00 - 02:00	McDonald's Restaurant	A + M Systemgastronomie GmbH
258	399	49.984343366	8.4298388745	Rüsselsheim	65428	Rüsselsheim, Adam-Opel-Str.	Adam-Opel-Str. 49	+49 6142 64819	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/ruesselsheim-adam-opel-str-49	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	McDonald's Restaurant	McDonald's Deutschland LLC
514	682	51.1808554105	7.24161326111	Remscheid	42897	Remscheid, Jägerwald 8	Jägerwald 8	+49 2191 99980	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/remscheid-jaegerwald-8	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 06:00	07:00 - 01:00	07:00 - 06:00	07:00 - 01:00	McDonald's Restaurant	UWI - Restaurantbetriebe GmbH & Co. KG
770	972	51.9800950628	8.48054612986	Bielefeld	33649	Bielefeld, Im Brocke	Im Brocke 43	+49 521 4178840	True	True	True	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/bielefeld-im-brocke-43	24h	24h	24h	24h	24h	24h	24h	McDonald's Restaurant	Heiderich GmbH & Co. KG
2562	1056	52.9179271939	12.7847215294	Neuruppin	16816	Neuruppin, Neustädter Str.	Neustädterstr. 27	+49 3391 506331	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/neuruppin-neustaedterstr-27	07:00 - 24:00	08:00 - 24:00	07:00 - 24:00	07:00 - 02:00	07:00 - 24:00	07:00 - 02:00	07:00 - 24:00	McDonald's Restaurant	McDonald's Deutschland LLC
3074	1604	51.494789	7.371116	Dortmund	44149	Dortmund, Indupark-Center	Wulfshofstr. 6-8	+49 231 6559530	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/dortmund-wulfshofstr-6-8	10:00 - 21:00	geschlossen	10:00 - 21:00	09:00 - 22:00	10:00 - 21:00	09:00 - 22:00	10:00 - 21:00	McDonald's Restaurant	Axel Kirsch Systemgastronomie e.K.
3	6	48.1610996297	11.5632145274	München	80797	München, Hohenzollernstr.	Hohenzollernstr. 152	+49 89 307778666	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-hohenzollernstr-152	08:00 - 01:00	08:00 - 01:00	08:00 - 02:00	08:00 - 04:00	08:00 - 01:00	08:00 - 04:00	08:00 - 01:00	McDonald's Restaurant	A + M Systemgastronomie GmbH
259	401	51.8320622	12.2432144	Dessau	06844	Dessau, Kavalierstr.	Kavalierstr. 71	+49 340 2209666	False	False	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/dessau-kavalierstr-71	08:00 - 23:00	09:00 - 23:00	08:00 - 23:00	08:00 - 01:00	08:00 - 23:00	08:00 - 01:00	08:00 - 23:00	McDonald's Restaurant	S&D Systemgastronomie e.K.
515	683	49.444021846	11.8307322147	Amberg	92224	Amberg, Fuggerstr.	Fuggerstr. 22	+49 9621 470203	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/amberg-fuggerstr-22	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	06:00 - 05:00	McDonald's Restaurant	McDonald's Deutschland LLC
771	973	51.0601970998	8.77951604672	Frankenberg	35066	Frankenberg, Ruhrstr.	Ruhrstr. 17	+49 6451 714954	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/frankenberg-ruhrstr-17	07:00 - 00:00	08:00 - 00:00	07:00 - 00:00	07:00 - 03:00	07:00 - 00:00	07:00 - 05:00	07:00 - 00:00	McDonald's Restaurant	Ralf Kassens Systemgastronomie
2563	1057	47.9082504969	7.59295613102	Hartheim	79258	Hartheim Rastanlage Bremgarten	Rastanlage Bremgarten 2	+49 7633 934553	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/hartheim-rastanlage-bremgarten-2	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 03:00	08:00 - 01:00	08:00 - 03:00	08:00 - 01:00	McDonald's Restaurant	Dieter Stumpen e.K.
2819	1337	51.6962183332	7.96555851842	Lippetal	59510	Lippetal, Strängenbach	Strängenbach 2	+49 2388 301357	False	True	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/lippetal-straengenbach-2	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	McDonald's Restaurant	McDonald's Restaurant Klaus Lawatzki e.K.
3075	1605	50.9161440528	6.71435513986	Kerpen	50169	Kerpen, Bahnhof Horrem	Bahnhofstr. 11	+49 2273 5668904	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/kerpen-bahnhofstr-11	07:00 - 22:00	11:00 - 22:00	07:00 - 22:00	07:00 - 00:00	07:00 - 22:00	10:00 - 00:00	07:00 - 22:00	McDonald's Restaurant	Shahid Baig Systemgastronomie e.K.
4	7	48.1375372877	11.5633615315	München	80336	München, Schwanthalerstr.	Schwanthalerstr. 8	+49 89 54829373	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-schwanthalerstr-8	08:00 - 01:00	09:00 - 01:00	08:00 - 01:00	08:00 - 02:00	08:00 - 01:00	08:00 - 02:00	08:00 - 01:00	McDonald's Restaurant	Reisert Restaurant GmbH
260	402	47.6756446552	9.15240328808	Konstanz	78467	Konstanz, Opel Str.	Opelstr. 1	+49 7531 68463	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/konstanz-opelstr-1	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 05:00	07:00 - 01:00	07:00 - 05:00	07:00 - 01:00	McDonald's Restaurant	Albert Systemgastronomie
516	684	48.2157029635	9.87698465921	Laupheim	88471	Laupheim, Berblinger Str.	Berblingerstr. 28	+49 7392 5940	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/laupheim-berblingerstr-28	07:00 - 01:00	09:00 - 01:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	McDonald's Restaurant	Karrer Systemgastronomie Laupheim e.K.
772	974	49.4426516299	6.62602811901	Merzig	66663	Merzig, Saarwiesenring	Saarwiesenring 2	+49 6861 9399590	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/merzig-saarwiesenring-2	08:00 - 01:00	06:00 - 01:00	08:00 - 01:00	08:00 - 06:00	08:00 - 01:00	24h	08:00 - 01:00	McDonald's Restaurant	Markus Weber e.K.
2564	1058	53.015927282	7.85238006459	Friesoythe	26169	Friesoythe, Huntestr.	Huntestr. 2	+49 4491 919155	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/friesoythe-huntestr-2	08:00 - 00:00	08:00 - 00:00	08:00 - 00:00	08:00 - 06:00	08:00 - 00:00	08:00 - 06:00	08:00 - 00:00	McDonald's Restaurant	Burkhard Timme Systemgastronomie e.K.
2820	1338	50.1142064126	8.67557186202	Frankfurt am Main	60313	Frankfurt, Große Bockenheimer	Grosse Bockenheimer Str. 6	+49 69 13384277	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/frankfurt-am-main-grosse-bockenheimer-str-6	09:00 - 00:00	geschlossen	09:00 - 00:00	09:00 - 00:00	09:00 - 00:00	09:00 - 00:00	09:00 - 00:00	McDonald's Restaurant	SoTor Restaurants Süd GmbH & Co. KG
3076	1606	50.2957882005	8.25276925344	Bad Camberg	65520	Bad Camberg, Beuerbacher Lands	Beuerbacher Landstr. 4a	+49 6434 9080019	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/bad-camberg-beuerbacher-landstr-4a	09:00 - 00:30	09:00 - 00:30	09:00 - 00:30	09:00 - 01:00	09:00 - 00:30	09:00 - 01:00	09:00 - 00:30	McDonald's Restaurant	SPEEDEE Restaurations-Betriebe GmbH & Co. KG
5	8	48.1303630196	11.5581415537	München	80336	München, Goethestr.	Goethestr. 74	+49 89 54379812	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-goethestr-74	07:00 - 03:00	08:00 - 03:00	07:00 - 03:00	07:00 - 04:00	07:00 - 03:00	07:00 - 04:00	07:00 - 03:00	McDonald's Restaurant	McDonald's Deutschland LLC
261	403	49.625818639	8.36216058965	Worms	67547	Worms, Dr. Otto Röhmstr./Mainz	Dr.-Otto-Röhm-Str. 3	+49 6241 45497	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/worms-dr-otto-roehm-str-3	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 03:00	08:00 - 01:00	08:00 - 03:00	08:00 - 01:00	McDonald's Restaurant	Günther Blanke KG
517	685	53.5193646986	12.7130902524	Waren	17192	Waren, Strelitzer Str., B 192	Strelitzerstr. 139	+49 3991 663076	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/waren-strelitzerstr-139	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	07:00 - 01:00	07:00 - 00:00	McDonald's Restaurant	Norbert Bauszus GmbH
773	975	50.8859765773	7.63635866321	Waldbröl	51545	Waldbröl, Wiehlerstr.	Wiehler Str. 22	+49 2291 807075	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/waldbroel-wiehler-str-22	08:00 - 01:00	09:00 - 01:00	08:00 - 01:00	08:00 - 03:00	08:00 - 01:00	08:00 - 04:00	08:00 - 01:00	McDonald's Restaurant	M.J. Restaurantbetriebe
2565	1059	49.3436547882	7.17411529267	Neunkirchen	66538	Neunkirchen, Westspange/Boxber	Boxbergweg 1	+49 6821 14188	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/neunkirchen-boxbergweg-1	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	07:00 - 03:00	07:00 - 01:00	McDonald's Restaurant	Getrey Gastro GmbH & Co. KG
2821	1339	50.132263151	8.91719027371	Hanau	63450	Hanau, Am Markt	Am Markt 5	+49 6181 9065068	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/hanau-am-markt-5	09:00 - 23:00	10:00 - 23:00	09:00 - 23:00	09:00 - 01:00	09:00 - 23:00	09:00 - 01:00	09:00 - 23:00	McDonald's Restaurant	SYSTRO Restaurant GmbH & Co.KG
3077	1607	48.342692	8.66244	Vöhringen	72189	Vöhringen, Eythstr. 16 A	Eythstr. 14	+49 7454 4071082	False	True	False	True	True	False	True	None	None	https://www.mcdonalds.de/restaurant/voehringen-eythstr-14	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	07:00 - 01:00	McDonald's Restaurant	Familienrestaurant Karrer e.K.
4101	1719	48.1421847244	11.5506050338	München	80335	München, Zentraler Busbahnhof	Hackerbrücke 4	+49 89 51114838	False	False	False	False	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-hackerbruecke-4	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	07:00 - 00:00	McDonald's Restaurant	McDonald's Deutschland LLC
6	9	48.1171161	11.5391166	München	81373	München, Am Harras	Am Harras 12	+49 89 74664791	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/muenchen-am-harras-12	08:00 - 03:00	08:00 - 03:00	08:00 - 03:00	08:00 - 05:00	08:00 - 03:00	08:00 - 05:00	08:00 - 03:00	McDonald's Restaurant	McDonald's Deutschland LLC
262	404	53.0317755552	8.65441284391	Delmenhorst	27755	Delmenhorst, Hasporter Damm	Hasporter Damm 187	+49 4221 67838	False	True	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/delmenhorst-hasporter-damm-187	07:00 - 00:00	09:00 - 00:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	07:00 - 02:00	07:00 - 00:00	McDonald's Restaurant	Breitkopf GmbH
518	686	54.5307727543	9.57548798241	Schleswig	24837	Schleswig, Schleidörfer Str.	Schleidörferstr. 1a	+49 4621 953380	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/schleswig-schleidoerferstr-1a	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 02:00	08:00 - 01:00	08:00 - 02:00	08:00 - 01:00	McDonald's Restaurant	Hans-Dieter Schmidt
774	976	50.77893985	6.2213787	Stolberg	52222	Stolberg, Eisenbahnstr.	Eisenbahnstr. 11	+49 2402 860601	False	True	False	True	True	True	False	None	None	https://www.mcdonalds.de/restaurant/stolberg-eisenbahnstr-11	09:00 - 01:00	09:00 - 01:00	09:00 - 01:00	09:00 - 02:00	09:00 - 01:00	09:00 - 02:00	09:00 - 01:00	McDonald's Restaurant	Fast Food Schröder GmbH & Co. KG
2822	1340	53.0479404014	8.74361135927	Bremen	28259	Bremen, Roland-Center	Alter Dorfweg 30-50	+49 421 5720253	False	False	False	True	True	False	False	None	None	https://www.mcdonalds.de/restaurant/bremen-alter-dorfweg-30-50	10:00 - 20:00	geschlossen	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	10:00 - 20:00	McDonald's Restaurant	O.H. Systemgastronomie GmbH
3078	1608	50.7675906495	7.31268518458	Hennef	53773	Hennef, Albert-Nobel-Str.	Alfred-Nobel-Str. 3	+49 2242 8741464	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/hennef-alfred-nobel-str-3	07:00 - 01:00	08:00 - 01:00	07:00 - 01:00	07:00 - 05:00	07:00 - 01:00	07:00 - 05:00	07:00 - 01:00	McDonald's Restaurant	Hans-Otto Westphal Siegburg-Restaurations GmbH
4102	1720	52.5072568353	13.2796986399	Berlin	14057	Berlin, Zentraler Busbahnhof (	Masurenallee 4-6	+49 30 30100359	False	False	False	False	True	False	False	None	None	https://www.mcdonalds.de/restaurant/berlin-masurenallee-4-6	08:00 - 22:00	09:00 - 23:00	08:00 - 22:00	08:00 - 23:00	08:00 - 22:00	08:00 - 23:00	08:00 - 22:00	McDonald's Restaurant	HAM Systemrestaurant GmbH
263	405	52.4704681112	10.5436701332	Gifhorn	38518	Gifhorn	Braunschweiger Str. 103	+49 5371 15787	False	True	False	True	True	True	True	None	None	https://www.mcdonalds.de/restaurant/gifhorn-braunschweiger-str-103	07:00 - 01:00	09:00 - 01:00	07:00 - 01:00	07:00 - 04:00	07:00 - 01:00	07:00 - 04:00	07:00 - 01:00	McDonald's Restaurant	Dr. Werner Lampe GmbH
